code,trade_date,open,high,low,close,volume,amount,adj_factor,limit_up,limit_down,is_paused,pre_close,qfq_open,qfq_high,qfq_low,qfq_close,qfq_pre_close,ret_1d,rsi14,ema12,ema26,macd_dif,macd_dea,macd_hist,boll_mid,boll_std,boll_upper,boll_lower,boll_percent_b,boll_bandwidth,kdj_rsv9,kdj_k,kdj_d,kdj_j
603466.SH,20250902,10.55,10.55,10.0,10.14,24609434.0,250704665.31,1.0,,,False,10.54,10.55,10.55,10.0,10.14,10.54,-0.03795066413662229,36.83090835128209,10.707882446254361,10.702641036188796,0.005241410065565333,0.09409252968082345,-0.08885111961525811,10.8095,0.2689512037526803,11.34740240750536,10.27159759249464,-0.12232478481082834,0.09952401267502844,10.071942446043202,25.849975732897565,42.21078732682866,-6.8716474549646165
603466.SH,20250903,10.16,10.26,9.82,9.88,16379464.0,164230640.06,1.0,,,False,10.14,10.16,10.26,9.82,9.88,10.14,-0.02564102564102566,32.803581899997695,10.580515916061383,10.641704663137775,-0.061188747076391437,0.06303627432938047,-0.12422502140577191,10.7445,0.3231791298955025,11.390858259791006,10.098141740208995,-0.16874677232370172,0.12031425562678687,3.821656050955445,18.50720250558353,34.30959238641362,-13.097577256076654
603466.SH,20250904,9.88,9.99,9.63,9.8,14389845.0,141736354.41,1.0,,,False,9.88,9.88,9.99,9.63,9.8,9.88,-0.0080971659919028,31.656565767715207,10.460436544359633,10.579356169572014,-0.11891962521238142,0.026645094421028095,-0.1455647196334095,10.686499999999999,0.3786327376231651,11.443765475246328,9.929234524753669,-0.0853297350652556,0.1417237589943068,9.659090909090907,15.557831973419322,28.05900558208219,-9.444515243906416
603466.SH,20250905,9.9,10.01,9.67,9.97,12422594.0,122695966.23,1.0,,,False,9.8,9.9,10.01,9.67,9.97,9.8,0.0173469387755103,36.72014220710946,10.384984768304305,10.534218675529642,-0.14923390722533725,-0.008530705908244974,-0.14070320131709227,10.638,0.40430928755101764,11.446618575102034,9.829381424897965,0.0869498793570822,0.15202454880654906,19.318181818181813,16.811281921673487,24.30976436194596,1.8143170411285467
603466.SH,20250908,9.96,10.04,9.88,10.03,12783020.0,127407829.64,1.0,,,False,9.97,9.96,10.04,9.88,10.03,9.97,0.006018054162487241,38.45335532072394,10.33037172702672,10.496869144008928,-0.16649741698220843,-0.040124048123037666,-0.12637336885917078,10.597,0.42192534884741245,11.440850697694824,9.753149302305175,0.16404009527461827,0.15926218697646963,22.72727272727265,18.78327885687321,22.46760252692171,11.414631516776211
603466.SH,20250909,10.05,10.05,9.81,9.86,12581289.0,124671898.34,1.0,,,False,10.03,10.05,10.05,9.81,9.86,10.03,-0.016949152542372836,35.48753611229476,10.258006845945685,10.449693651860118,-0.19168680591443277,-0.07043659968131669,-0.12125020623311608,10.559999999999999,0.45145320909260356,11.462906418185206,9.657093581814792,0.11236292826062678,0.17100500344416802,17.037037037036942,18.201198250261122,21.045467768034847,12.512659214713672
603466.SH,20250910,9.87,10.0,9.83,9.87,11006719.0,108927465.6,1.0,,,False,9.86,9.87,10.0,9.83,9.87,9.86,0.0010141987829614951,35.80120616956356,10.198313485030964,10.406753381351962,-0.20843989632099813,-0.09803725900925297,-0.11040263731174516,10.5245,0.4757465186420278,11.475993037284056,9.573006962715944,0.15606684738954743,0.18081486764864002,17.77777777777767,18.06005809276664,20.05033120961211,14.079511859075694
603466.SH,20250911,9.85,9.99,9.65,9.99,13269611.0,130441381.7,1.0,,,False,9.87,9.85,9.99,9.65,9.99,9.87,0.012158054711246313,39.596599188790414,10.166265256564662,10.375882760511075,-0.2096175039464132,-0.12035330799668503,-0.08926419594972818,10.508,0.4881147406092229,11.484229481218446,9.531770518781553,0.23469352751287767,0.18580690544698258,33.96226415094338,23.36079344549222,21.15381862157215,27.77474309333236
603466.SH,20250912,9.98,10.06,9.92,9.95,13824153.0,138168976.29,1.0,,,False,9.99,9.98,10.06,9.92,9.95,9.99,-0.004004004004004136,38.773729823309836,10.132993678631637,10.344335889362107,-0.21134221073046966,-0.13855108854344197,-0.07279112218702768,10.469,0.49983897407065814,11.468677948141316,9.469322051858683,0.2404164006193357,0.19097868910904897,34.782608695652016,27.168065195545488,23.158567479563263,35.18706062750993
603466.SH,20250915,9.95,9.96,9.8,9.85,10809360.0,106517922.56,1.0,,,False,9.95,9.95,9.96,9.8,9.85,9.95,-0.01005025125628134,36.71929649964467,10.089456189611385,10.307718416076025,-0.2182622264646401,-0.1544933161276816,-0.0637689103369585,10.414,0.5043847737590882,11.422769547518175,9.405230452481824,0.22045151373394423,0.1937333488607981,34.9206349206348,29.752255103908595,25.356463354345042,38.5438386030357
